date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:33	37583/37583	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2013:10:59%20GMT	https://passport.alibaba.com/icbu_login.htm	C:/Users/Sypha/Desktop/sites/amz/passport.alibaba.com/icbu_login.html	(from )
14:21:33	25/25	---M--	200	added ('OK')	text/plain	etag:%226449ebb7-19%22	https://passport.alibaba.com/robots.txt		(from )
14:21:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20May%202023%2013:11:01%20GMT	http://s.alicdn.com/@img/tfs/TB1pDDmmF67gK0jSZPfXXahhFXa-2814-380.png	C:/Users/Sypha/Desktop/sites/amz/s.alicdn.com/@img/tfs/TB1pDDmmF67gK0jSZPfXXahhFXa-2814-380.1.delayed	(from https://passport.alibaba.com/icbu_login.htm)
14:21:36	16527/16527	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jun%202022%2018:04:39%20GMT	https://s.alicdn.com/@img/tfs/TB1pDDmmF67gK0jSZPfXXahhFXa-2814-380.png	C:/Users/Sypha/Desktop/sites/amz/s.alicdn.com/@img/tfs/TB1pDDmmF67gK0jSZPfXXahhFXa-2814-380.png	(from https://passport.alibaba.com/icbu_login.htm)
14:21:37	14203/14203	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	http://i.alicdn.com/g/dt/tracker/4.1.0/tracker.Tracker.js	C:/Users/Sypha/Desktop/sites/amz/i.alicdn.com/g/dt/tracker/4.1.0/tracker.Tracker.js	(from https://passport.alibaba.com/icbu_login.htm)
14:21:40	220966/220966	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	http://i.alicdn.com/g/sd/ncpc/nc.js?t=2015052012	C:/Users/Sypha/Desktop/sites/amz/i.alicdn.com/g/sd/ncpc/nca4e2.js	(from https://passport.alibaba.com/icbu_login.htm)
14:21:42	47614/47614	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2006%20May%202023%2013:11:06%20GMT	http://g.alicdn.com/vip/havana-nlogin/0.8.6/thirdpart-login.js	C:/Users/Sypha/Desktop/sites/amz/g.alicdn.com/vip/havana-nlogin/0.8.6/thirdpart-login.js	(from https://passport.alibaba.com/icbu_login.htm)
14:21:43	14844/14844	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2006%20May%202023%2013:11:07%20GMT	https://g.alicdn.com/dt/tracker/4.3.1/??tracker.Tracker.js	C:/Users/Sypha/Desktop/sites/amz/g.alicdn.com/dt/tracker/4.3.1/index8ae8.html	(from https://passport.alibaba.com/icbu_login.htm)
14:21:43	38128/38128	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2006%20May%202023%2013:11:07%20GMT	https://g.alicdn.com/??/AWSC/AWSC/awsc.js,/sd/baxia/2.0.40/baxiaCommon.js	C:/Users/Sypha/Desktop/sites/amz/g.alicdn.com/index1e1c.html	(from https://passport.alibaba.com/icbu_login.htm)
14:21:44	156842/156842	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Apr%202023%2003:34:00%20GMT	http://i.alicdn.com/g/vip/havana-login/0.4.6/js/mini-login-min.js	C:/Users/Sypha/Desktop/sites/amz/i.alicdn.com/g/vip/havana-login/0.4.6/js/mini-login-min.js	(from https://passport.alibaba.com/icbu_login.htm)
